standard,mechanism,project_title,reference_no,monitoring_period_raw,monitoring_start,monitoring_end,decision_date_raw,decision_date,total_notified,country,notified_amount,issuance_date_raw,issuance_date,issued_amount,source_url
JCM,Mongolia-Japan JCM,Introduction of 15MW Solar Power System near New Airport,MN006,06 Jul 19 - 31 Dec 20,2019-07-06,2020-12-31,24 Jan 26,2026-01-24,30312,Mongolia,6063,,,,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,Introduction of 15MW Solar Power System near New Airport,MN006,06 Jul 19 - 31 Dec 20,2019-07-06,2020-12-31,24 Jan 26,2026-01-24,30312,Japan,24249,30 Jan 26,2026-01-30,24249.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,A HIGH EFFICIENCY AND LOW LOSS POWER TRANSMISSION AND DISTRIBUTION SYSTEM IN MONGOLIA,MN005,02 Dec 17 - 31 Dec 18,2017-12-02,2018-12-31,17 May 19,2019-05-17,1,Mongolia,1,17 May 19,2019-05-17,1.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,A HIGH EFFICIENCY AND LOW LOSS POWER TRANSMISSION AND DISTRIBUTION SYSTEM IN MONGOLIA,MN005,02 Dec 17 - 31 Dec 18,2017-12-02,2018-12-31,17 May 19,2019-05-17,1,Japan,0,N/A,,0.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,10MW Solar Power Project in Darkhan City,MN004,01 Aug 17 - 31 Dec 20,2017-08-01,2020-12-31,27 Mar 25,2025-03-27,53764,Mongolia,8963,7 May 25,2025-05-07,8963.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,10MW Solar Power Project in Darkhan City,MN004,01 Aug 17 - 31 Dec 20,2017-08-01,2020-12-31,27 Mar 25,2025-03-27,53764,Japan,35854,11 Apr 25,2025-04-11,35854.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,10MW Solar Power Project in Darkhan City,MN004,01 Jan 17 - 31 Jul 17,2017-01-01,2017-07-31,24 Oct 17,2017-10-24,53764,Mongolia,1789,24 Oct 17,2017-10-24,1789.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,10MW Solar Power Project in Darkhan City,MN004,01 Jan 17 - 31 Jul 17,2017-01-01,2017-07-31,24 Oct 17,2017-10-24,53764,Japan,7158,24 Oct 17,2017-10-24,7158.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,Installation of 12.7 MW Solar Power Plant for Power Supply In Ulaanbaatar Suburb,MN003,01 Jun 18 - 31 Dec 20,2018-06-01,2020-12-31,08 Feb 22,2022-02-08,44299,Mongolia,7084,22 Feb 22,2022-02-22,7084.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,Installation of 12.7 MW Solar Power Plant for Power Supply In Ulaanbaatar Suburb,MN003,01 Jun 18 - 31 Dec 20,2018-06-01,2020-12-31,08 Feb 22,2022-02-08,44299,Japan,28335,24 Feb 22,2022-02-24,28335.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,Installation of 12.7 MW Solar Power Plant for Power Supply In Ulaanbaatar Suburb,MN003,26 Aug 17 - 31 May 18,2017-08-26,2018-05-31,06 Nov 18,2018-11-06,44299,Mongolia,1776,14 Dec 18,2018-12-14,1776.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,Installation of 12.7 MW Solar Power Plant for Power Supply In Ulaanbaatar Suburb,MN003,26 Aug 17 - 31 May 18,2017-08-26,2018-05-31,06 Nov 18,2018-11-06,44299,Japan,7104,14 Dec 18,2018-12-14,7104.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,Centralization of heat supply system by installation of high-efficiency Heat Only Boilers in Bornuur soum Project,MN002,15 Sep 18 - 31 Dec 20,2018-09-15,2020-12-31,24 Jan 26,2026-01-24,637,Mongolia,66,,,,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,Centralization of heat supply system by installation of high-efficiency Heat Only Boilers in Bornuur soum Project,MN002,15 Sep 18 - 31 Dec 20,2018-09-15,2020-12-31,24 Jan 26,2026-01-24,637,Japan,256,30 Jan 26,2026-01-30,256.0,https://www.jcm.go.jp/jc/mn-projects-issues
JCM,Mongolia-Japan JCM,Centralization of heat supply system by installation of high-efficiency Heat Only Boilers in Bornuur soum Project,MN002,15 Sep 18 - 31 Dec 20,2018-09-15,2020-12-31,24 Jan 26,2026-01-24,637,Japan,166,29 Nov 18,2018-11-29,166.0,https://www.jcm.go.jp/jc/mn-projects-issues
