standard,reference_no,host_country,project_title,status,registration_date_raw,registration_date,host_country_participant,japanese_participant,methodology_no_raw,methodology_no,methodology_title_raw,methodology_title,methodology_url,source_url
JCM,VN020,Viet Nam,"Introduction of 0.4MW Rooftop Solar Power System to Aluminum Wheel Manufacturing Factory in Hanoi, Vietnam",Validation,,,"Enkei Vietnam Co., Ltd.; BIDV-SuMi TRUST Leasing Co., Ltd.","Sumitomo Mitsui Trust Panasonic Finance Co.,Ltd.","<a href=""/jc/methodologies/vn-am007-ver1-0/"">VN_AM007 Ver1.0</a>",VN_AM007 Ver1.0,"<a href=""/jc/methodologies/vn-am007-ver1-0/"">VN_AM007 Ver1.0</a>",VN_AM007 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am007-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,VN019,Viet Nam,Introduction of 2.5MW Rooftop Solar Power System to Food Factory and Garment Factory in Vietnam,Validation,,,"Kansai Energy Solutions (Vietnam) Co., Ltd.","The Kansai Electric Power Company, Inc.","<a href=""/jc/methodologies/vn-am007-ver1-0/"">VN_AM007 Ver1.0</a>",VN_AM007 Ver1.0,"<a href=""/jc/methodologies/vn-am007-ver1-0/"">VN_AM007 Ver1.0</a>",VN_AM007 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am007-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,VN018,Viet Nam,"Introduction of Amorphous High Efficiency Transformers in Northern, Central and Southern Power Grids II",Validation,,,1. Khanh Hoa Power Joint Stock Company (KHPC); 2. Dong Nai Power Company (Dong Nai PC); 3. EVN Hanoi Power Corporation (EVN HN),"Yuko-Keiso Co., Ltd.","<a href=""/jc/methodologies/vn-am005-ver1-0/"">VN_AM005 Ver1.0</a>",VN_AM005 Ver1.0,"<a href=""/jc/methodologies/vn-am005-ver1-0/"">VN_AM005 Ver1.0</a>",VN_AM005 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am005-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,VN017,Viet Nam,106MW Solar Power Project in An Giang Province,Validation,,,Sao Mai Group Corporation,Kanematsu KGK Corp.,"<a href=""/jc/methodologies/vn-am007-ver1-0/"">VN_AM007 Ver1.0</a>",VN_AM007 Ver1.0,"<a href=""/jc/methodologies/vn-am007-ver1-0/"">VN_AM007 Ver1.0</a>",VN_AM007 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am007-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,VN016,Viet Nam,Installation of High Efficiency Kiln in Sanitary Ware Manufacturing Factory,Validation,,,"TOTO VIETNAM Co., Ltd.",TOTO Ltd.,"<a href=""/jc/methodologies/vn-am010-ver1-0/"">VN_AM010 Ver1.0</a>",VN_AM010 Ver1.0,"<a href=""/jc/methodologies/vn-am010-ver1-0/"">VN_AM010 Ver1.0</a>",VN_AM010 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am010-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,VN015,Viet Nam,Energy Saving in Factories with Air-Conditioning Control System,Validation,,,"Nidec Vietnam Corporation; Nidec Copal Precision (Vietnam) Corporation; Nidec Servo Vietnam Corporation; Nidec Sankyo Vietnam Corporation; Nidec Tosok (Vietnam) Co., Ltd.","Yuko Keiso Co., Ltd.","<a href=""/jc/methodologies/vn-am015-ver1-0/"">VN_AM015 Ver1.0</a>",VN_AM015 Ver1.0,"<a href=""/jc/methodologies/vn-am015-ver1-0/"">VN_AM015 Ver1.0</a>",VN_AM015 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am015-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,VN014,Viet Nam,"Introduction of high-efficient wire stranding machines to the factory of YAZAKI EDS VIETNAM Co., LTD.",Project registered,28 May 19,2019-05-28,"YAZAKI EDS VIETNAM Co., LTD.","YAZAKI Parts Co., LTD.; YAZAKI corporation","<a href=""/jc/methodologies/vn-am014-ver1-0/"">VN_AM014 Ver1.0</a>",VN_AM014 Ver1.0,"<a href=""/jc/methodologies/vn-am014-ver1-0/"">VN_AM014 Ver1.0</a>",VN_AM014 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am014-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,VN013,Viet Nam,"Introduction of Amorphous High Efficiency Transformers in Northern, Central and Southern Power Grids",Project registered,28 May 19,2019-05-28,EVN Southern Power Corporation; EVN Hanoi; Khanh Hoa Power Joint Stock Company; Dong Nai Power Company,"Yuko-Keiso Co., Ltd.","<a href=""/jc/methodologies/vn-am005-ver1-0/"">VN_AM005 Ver1.0</a>",VN_AM005 Ver1.0,"<a href=""/jc/methodologies/vn-am005-ver1-0/"">VN_AM005 Ver1.0</a>",VN_AM005 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am005-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,VN012,Viet Nam,Introduction of High Efficiency Water Pumps in Da Nang City,Project registered,28 May 19,2019-05-28,Danang Water Supply Joint Stock Company (DAWACO),"Yokohama Water Co., Ltd.","<a href=""/jc/methodologies/vn-am013-ver1-0/"">VN_AM013 Ver1.0</a>",VN_AM013 Ver1.0,"<a href=""/jc/methodologies/vn-am013-ver1-0/"">VN_AM013 Ver1.0</a>",VN_AM013 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am013-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
JCM,VN011,Viet Nam,Installation of Energy Saving Equipment in Lens Factory,Project registered,28 May 19,2019-05-28,HOYA LENS VIETNAM LTD,HOYA CORPORATION,"<a href=""/jc/methodologies/vn-am011-ver1-0/"">VN_AM011 Ver1.0</a><br>
<a href=""/jc/methodologies/vn-am012-ver1-0/"">VN_AM012 Ver1.0</a>",VN_AM011 Ver1.0 VN_AM012 Ver1.0,"<a href=""/jc/methodologies/vn-am011-ver1-0/"">VN_AM011 Ver1.0</a><br>
<a href=""/jc/methodologies/vn-am012-ver1-0/"">VN_AM012 Ver1.0</a>",VN_AM011 Ver1.0 VN_AM012 Ver1.0,https://www.jcm.go.jp/jc/methodologies/vn-am011-ver1-0/,https://www.jcm.go.jp/jc/mn-projects/
