standard,mechanism,host_country,category,section,document_title,file_format,file_url,source_url
JCM,Joint Crediting Mechanism,Mongolia,General,Rules and Guidelines,Bilateral Document,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_bilateral_document.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,General,Rules and Guidelines,Modification of Bilateral Document,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/modification_bilat_doc_mn-jp.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Archive,Download All Forms,ZIP,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_Forms_Mongolia.zip,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Archive,Download All Rules and Guidelines,ZIP,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_Rules_and_Guidelines_Mongolia.zip,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Application Form for Designation as a Third-Party Entity,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_TPE_ver06.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Application Form for Designation as a Third-Party Entity,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_TPE_ver06.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Approved Methodology Revision Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_AMR_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Approved Methodology Revision Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_AMR_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Assessment of Reference Emissions Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Asst_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Assessment of Reference Emissions Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Asst_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Credits Issuance Request Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Iss_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Credits Issuance Request Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Iss_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Issuance Request Withdrawal Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_IW_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Issuance Request Withdrawal Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_IW_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Modalities of Communication Statement Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_MoC_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Modalities of Communication Statement Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_MoC_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Percentage of Credit Allocation Form,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Crd_Allc_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
JCM,Joint Crediting Mechanism,Mongolia,Project Cycle,Forms,Percentage of Credit Allocation Form,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Crd_Allc_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines
