project_name,supplier,methodology,country,project_url,project_id,page_number,source_url
A. James - 50370 Brecey,Carbonapp,Wooden Building Elements,France,https://registry.puro.earth/projects/181856,181856,1,https://registry.puro.earth/projects
Alcom-01-NuevaEcijaPhilippines,Alcom Carbon Markets Pte Ltd,"Biochar, 2022",Philippines,https://registry.puro.earth/projects/227253,227253,1,https://registry.puro.earth/projects
"American BioCarbon CT, LLC","American BioCarbon CT, LLC","Biochar, 2022",United States,https://registry.puro.earth/projects/543800,543800,1,https://registry.puro.earth/projects
Aperam BioEnergia,Aperam Bioenergia Ltda,"Biochar, 2022",Brazil,https://registry.puro.earth/projects/175613,175613,1,https://registry.puro.earth/projects
Applied Carbon – Terra,Applied Carbon Inc.,"Biochar, 2022",United States,https://registry.puro.earth/projects/686528,686528,1,https://registry.puro.earth/projects
"Are Treindustrier, Norway",Accend AS,Wooden Building Elements,Norway,https://registry.puro.earth/projects/310958,310958,1,https://registry.puro.earth/projects
Avonmouth Production Facility,O.C.O Technology Limited,Carbonated Materials,United Kingdom,https://registry.puro.earth/projects/756292,756292,1,https://registry.puro.earth/projects
BASNA d.o.o.,Basna d.o.o.,"Biochar, 2022",Serbia,https://registry.puro.earth/projects/957051,957051,1,https://registry.puro.earth/projects
BBB - Ahlstrom_Radcliffe,Black Bull Biochar Ltd,"Biochar, 2022",United Kingdom,https://registry.puro.earth/projects/511686,511686,1,https://registry.puro.earth/projects
BBB - AWJ_Newton Rigg (JNR),Black Bull Biochar Ltd,"Biochar, 2022",United Kingdom,https://registry.puro.earth/projects/448190,448190,1,https://registry.puro.earth/projects
BC Biocarbon - McBride,BC Biocarbon LTD,"Biochar, 2022",Canada,https://registry.puro.earth/projects/862421,862421,2,https://registry.puro.earth/projects
Bella Biochar Corporation,Bella Biochar Corporation,"Biochar, 2022",Canada,https://registry.puro.earth/projects/157033,157033,2,https://registry.puro.earth/projects
Bio-Logical Mt Kenya Biochar Project,Bio-Logical,"Biochar, 2022",Kenya,https://registry.puro.earth/projects/664457,664457,2,https://registry.puro.earth/projects
BioLesna Carrot River,BC Biocarbon LTD,"Biochar, 2022",Canada,https://registry.puro.earth/projects/392654,392654,2,https://registry.puro.earth/projects
Brandon Production Facility,O.C.O Technology Limited,Carbonated Materials,United Kingdom,https://registry.puro.earth/projects/300346,300346,2,https://registry.puro.earth/projects
Brodie Biomass,Accend AS,"Biochar, 2022",United Kingdom,https://registry.puro.earth/projects/680422,680422,2,https://registry.puro.earth/projects
Bussme-01-Munka-Ljungby,Bussme Biochar AB,"Biochar, 2022",Sweden,https://registry.puro.earth/projects/299495,299495,2,https://registry.puro.earth/projects
Bussme-01-Svedala,Bussme Biochar AB,"Biochar, 2022",Sweden,https://registry.puro.earth/projects/665890,665890,2,https://registry.puro.earth/projects
Carbofex 1 Hiedanranta,Carbofex Oy,"Biochar, 2022",Finland,https://registry.puro.earth/projects/911942,911942,2,https://registry.puro.earth/projects
Carbofex Nokia 1,Carbofex Oy,"Biochar, 2022",Finland,https://registry.puro.earth/projects/507468,507468,2,https://registry.puro.earth/projects
"Carbon Cycle, 001, Rieden, DE",Accend AS,"Biochar, 2022",Germany,https://registry.puro.earth/projects/511285,511285,3,https://registry.puro.earth/projects
Carbon Hill,Accend AS,"Biochar, 2022",United Kingdom,https://registry.puro.earth/projects/712033,712033,3,https://registry.puro.earth/projects
Carbonchip Mobile Carboniser #1,Biocare Projects Pty Ltd,"Biochar, 2022",Australia,https://registry.puro.earth/projects/291133,291133,3,https://registry.puro.earth/projects
Carbonity Biochar Production Canada,First Climate (Switzerland) AG,"Biochar, 2022",Canada,https://registry.puro.earth/projects/145827,145827,3,https://registry.puro.earth/projects
Carbonsate Project Namibia,Carbonsate GmbH,Terrestrial Storage of Biomass,Namibia,https://registry.puro.earth/projects/583695,583695,3,https://registry.puro.earth/projects
Charles Ingram Lumber Company,S.J. Smoke Enterprises,"Biochar, 2022",United States,https://registry.puro.earth/projects/973037,973037,3,https://registry.puro.earth/projects
Clean Maine Carbon,Clean Maine Carbon,"Biochar, 2022",United States,https://registry.puro.earth/projects/120366,120366,3,https://registry.puro.earth/projects
CSI-Hardin,"Carbon Sequestration, Inc.",Terrestrial Storage of Biomass,United States,https://registry.puro.earth/projects/959739,959739,3,https://registry.puro.earth/projects
Douglas County Forest Products,ACT Commodities Inc.,"Biochar, 2022",United States,https://registry.puro.earth/projects/992402,992402,3,https://registry.puro.earth/projects
Dragonfly,Tivano AG,Terrestrial Storage of Biomass,Namibia,https://registry.puro.earth/projects/846201,846201,3,https://registry.puro.earth/projects
Earthcare,"Earthcare, LLC","Biochar, 2022",United States,https://registry.puro.earth/projects/715141,715141,4,https://registry.puro.earth/projects
East Dundee Biochar Facility,The Davey Tree Expert Company,"Biochar, 2022",United States,https://registry.puro.earth/projects/435899,435899,4,https://registry.puro.earth/projects
ECHO2 Holla-Fresh,Rainbow Bee Eater Pty Ltd,"Biochar, 2022",Australia,https://registry.puro.earth/projects/767851,767851,4,https://registry.puro.earth/projects
ECOERA Millennium 1 Hammenhög Skånefrö,Ecoera AB,"Biochar, 2022",Sweden,https://registry.puro.earth/projects/706975,706975,4,https://registry.puro.earth/projects
Eion - Twinterstellar 3021,Eion Corp,"Enhanced Rock Weathering, 2022",United States,https://registry.puro.earth/projects/387867,387867,4,https://registry.puro.earth/projects
Ekovilla 1 Kiiminki,Eco Up Oyj,Wooden Building Elements,Finland,https://registry.puro.earth/projects/522433,522433,4,https://registry.puro.earth/projects
Ekovilla 2 Kuusankoski,Eco Up Oyj,Wooden Building Elements,Finland,https://registry.puro.earth/projects/926954,926954,4,https://registry.puro.earth/projects
Ekovilla 3 Ylistaro,Eco Up Oyj,Wooden Building Elements,Finland,https://registry.puro.earth/projects/220156,220156,4,https://registry.puro.earth/projects
Enhanced Rock Weathering - Smallholder farmers in India,Varaha ClimateAg,"Enhanced Rock Weathering, 2022",India,https://registry.puro.earth/projects/442197,442197,4,https://registry.puro.earth/projects
EUTHENIA ENERGY CENTER,Euthenia Energy Center S.L.,"Biochar, 2022",Spain,https://registry.puro.earth/projects/272454,272454,4,https://registry.puro.earth/projects
"Exomad Green, Concepción",Exomad SRL,"Biochar, 2022",Bolivia,https://registry.puro.earth/projects/432524,432524,5,https://registry.puro.earth/projects
"Exomad Green, Riberalta",Exomad SRL,"Biochar, 2022",Bolivia,https://registry.puro.earth/projects/292788,292788,5,https://registry.puro.earth/projects
"Explocom 1, Lupeni",Accend AS,"Biochar, 2022",Romania,https://registry.puro.earth/projects/307998,307998,5,https://registry.puro.earth/projects
Farm Gai Kaisa 159,Planboo Eco AB,"Biochar, 2022",Namibia,https://registry.puro.earth/projects/226049,226049,5,https://registry.puro.earth/projects
Fasera Biochar Plant 1,Fasera Holdings Pty Ltd,"Biochar, 2022",Australia,https://registry.puro.earth/projects/607941,607941,5,https://registry.puro.earth/projects
Fasera TSB Facility 1,Fasera Holdings Pty Ltd,Terrestrial Storage of Biomass,Australia,https://registry.puro.earth/projects/477900,477900,5,https://registry.puro.earth/projects
Foundation 1,Arukah Capital Pte Ltd,"Biochar, 2022",Cambodia,https://registry.puro.earth/projects/526866,526866,5,https://registry.puro.earth/projects
Four Bordet,Carbonapp,"Biochar, 2022",France,https://registry.puro.earth/projects/619736,619736,5,https://registry.puro.earth/projects
"Freres Lumber Co., Inc.",ACT Commodities Inc.,"Biochar, 2022",United States,https://registry.puro.earth/projects/133206,133206,5,https://registry.puro.earth/projects
General Biochar Systems - Irapuato,The Next 150 SA,"Biochar, 2022",Mexico,https://registry.puro.earth/projects/644638,644638,5,https://registry.puro.earth/projects
Gevo North Dakota,Net-Zero Richardton LLC,Geologically stored carbon,United States,https://registry.puro.earth/projects/353054,353054,6,https://registry.puro.earth/projects
Glanris,Accend AS,"Biochar, 2022",United States,https://registry.puro.earth/projects/375603,375603,6,https://registry.puro.earth/projects
Guaicaramo,Sirius Regenerative Solutions,"Biochar, 2022",Colombia,https://registry.puro.earth/projects/389138,389138,6,https://registry.puro.earth/projects
Hjelmsäters Egendom,Edvard Hamilton (Hjelmsäters Egendom),"Biochar, 2022",Sweden,https://registry.puro.earth/projects/984723,984723,6,https://registry.puro.earth/projects
Igloo Cellulose Inc.,Carbonapp,Wooden Building Elements,Canada,https://registry.puro.earth/projects/123804,123804,6,https://registry.puro.earth/projects
Igloo France Cellulose,Carbonapp,Wooden Building Elements,France,https://registry.puro.earth/projects/438730,438730,6,https://registry.puro.earth/projects
InterEarth Bowgada,Inter Earth Pty Ltd,Terrestrial Storage of Biomass,Australia,https://registry.puro.earth/projects/514150,514150,6,https://registry.puro.earth/projects
Jeffries Group,L.F Jeffries Nominees Pty. Ltd t/aJeffries Group,"Biochar, 2022",Australia,https://registry.puro.earth/projects/114352,114352,6,https://registry.puro.earth/projects
Jiaxing Tongao Biochar Plant,"Climate Future Co., Ltd.","Biochar, 2022",China,https://registry.puro.earth/projects/554214,554214,6,https://registry.puro.earth/projects
Joanna,ACT Commodities Inc.,"Biochar, 2022",United States,https://registry.puro.earth/projects/320449,320449,6,https://registry.puro.earth/projects
Karbonetiq Contrecoeur,Karbonetiq Inc,Carbonated Materials,Canada,https://registry.puro.earth/projects/832026,832026,7,https://registry.puro.earth/projects
La Veta,Wood Cache PBC,Terrestrial Storage of Biomass,United States,https://registry.puro.earth/projects/530211,530211,7,https://registry.puro.earth/projects
Lapwall Factory 1,LapWall Oyj,Wooden Building Elements,Finland,https://registry.puro.earth/projects/134828,134828,7,https://registry.puro.earth/projects
Lapwall Factory 2,LapWall Oyj,Wooden Building Elements,Finland,https://registry.puro.earth/projects/329175,329175,7,https://registry.puro.earth/projects
Leeds Production Facility,O.C.O Technology Limited,Carbonated Materials,United Kingdom,https://registry.puro.earth/projects/625222,625222,7,https://registry.puro.earth/projects
Lithos Carbon US Southeast ERW Deployment,"Lithos Carbon, Inc.","Enhanced Rock Weathering, 2022",United States,https://registry.puro.earth/projects/203380,203380,7,https://registry.puro.earth/projects
Lithos Mid-Atlantic Facility,"Lithos Carbon, Inc.","Enhanced Rock Weathering, 2022",United States,https://registry.puro.earth/projects/782763,782763,7,https://registry.puro.earth/projects
Lithos Mid-West Facility,"Lithos Carbon, Inc.","Enhanced Rock Weathering, 2022",United States,https://registry.puro.earth/projects/606367,606367,7,https://registry.puro.earth/projects
Lurin,Inkan Negro SAC,"Biochar, 2022",Peru,https://registry.puro.earth/projects/316372,316372,7,https://registry.puro.earth/projects
Mammoth,Climeworks AG,"Geologically stored carbon, 2024",Iceland,https://registry.puro.earth/projects/417791,417791,7,https://registry.puro.earth/projects
Mast Wood Preserve MT1,Mast Reforestation,Terrestrial Storage of Biomass,United States,https://registry.puro.earth/projects/272514,272514,8,https://registry.puro.earth/projects
"Moelven Limtre, Agder",Accend AS,Wooden Building Elements,Norway,https://registry.puro.earth/projects/847673,847673,8,https://registry.puro.earth/projects
"Moelven Limtre, Moelv",Accend AS,Wooden Building Elements,Norway,https://registry.puro.earth/projects/350917,350917,8,https://registry.puro.earth/projects
NetZero-001-Nkongsamba,NetZero,"Biochar, 2022",Cameroon,https://registry.puro.earth/projects/641719,641719,8,https://registry.puro.earth/projects
NetZero-002-Lajinha,NetZero,"Biochar, 2022",Brazil,https://registry.puro.earth/projects/141608,141608,8,https://registry.puro.earth/projects
NetZero-003-Brejetuba,NetZero,"Biochar, 2022",Brazil,https://registry.puro.earth/projects/566645,566645,8,https://registry.puro.earth/projects
Nian'da Biochar Facility,Eversink Limited,"Biochar, 2022",China,https://registry.puro.earth/projects/577494,577494,8,https://registry.puro.earth/projects
"Nordgau Carbon, Wernberg-Köblitz",Accend AS,"Biochar, 2022",Germany,https://registry.puro.earth/projects/424545,424545,8,https://registry.puro.earth/projects
"Noritec, Stall im Mölltal, Austria",Accend AS,Wooden Building Elements,Austria,https://registry.puro.earth/projects/928755,928755,8,https://registry.puro.earth/projects
Novocarbo Baltic Sea,Novocarbo GmbH,"Biochar, 2022",Germany,https://registry.puro.earth/projects/674019,674019,8,https://registry.puro.earth/projects
Novocarbo Rhine,Novocarbo GmbH,"Biochar, 2022",Germany,https://registry.puro.earth/projects/181017,181017,9,https://registry.puro.earth/projects
Novocarbo Ruhr/Tyssenkrupp,Novocarbo GmbH,"Biochar, 2022",Germany,https://registry.puro.earth/projects/798006,798006,9,https://registry.puro.earth/projects
Nuntårp Gård,BC Trading AB,"Biochar, 2022",Sweden,https://registry.puro.earth/projects/752025,752025,9,https://registry.puro.earth/projects
OBIO Rudshøgda,Accend AS,"Biochar, 2022",Norway,https://registry.puro.earth/projects/727586,727586,9,https://registry.puro.earth/projects
Orca plant,Climeworks AG,Geologically stored carbon,Iceland,https://registry.puro.earth/projects/631817,631817,9,https://registry.puro.earth/projects
Oregon Biochar Solutions,Oregon Biochar Solutions LLC,"Biochar, 2022",United States,https://registry.puro.earth/projects/753518,753518,9,https://registry.puro.earth/projects
"Premier Forest, Newport",Accend AS,"Biochar, 2022",United Kingdom,https://registry.puro.earth/projects/916484,916484,9,https://registry.puro.earth/projects
Pyrocal - Wellcamp,Pyrocal Pty Ltd,"Biochar, 2022",Australia,https://registry.puro.earth/projects/569274,569274,9,https://registry.puro.earth/projects
Pyrocal - Whitton,Pyrocal Pty Ltd,"Biochar, 2022",Australia,https://registry.puro.earth/projects/519265,519265,9,https://registry.puro.earth/projects
R3,Carbo Culture Inc,"Biochar, 2022",Finland,https://registry.puro.earth/projects/969347,969347,9,https://registry.puro.earth/projects
"ReGenerate Livermore Falls, LLC","ReGenerate Livermore Falls, LLC","Biochar, 2022",United States,https://registry.puro.earth/projects/470748,470748,10,https://registry.puro.earth/projects
Restoration Fuels,"Restoration Fuels, LLC","Biochar, 2022",United States,https://registry.puro.earth/projects/371935,371935,10,https://registry.puro.earth/projects
SAS OUATTITUDE,Carbonapp,Wooden Building Elements,France,https://registry.puro.earth/projects/432365,432365,10,https://registry.puro.earth/projects
SCG,SCG Cement,"Biochar, 2022",Thailand,https://registry.puro.earth/projects/133972,133972,10,https://registry.puro.earth/projects
SEEK Biochar in Shanghai,Climate Bridge (Shanghai) Ltd.,"Biochar, 2022",China,https://registry.puro.earth/projects/469599,469599,10,https://registry.puro.earth/projects
Sem-Chi Rice Products Corp. CDR Facility #1,Sem-Chi Rice Products Corp.,"Biochar, 2022",United States,https://registry.puro.earth/projects/593074,593074,10,https://registry.puro.earth/projects
Soilfood-1-Finland,Soilfood Oy,Soil Amendment,Finland,https://registry.puro.earth/projects/785725,785725,10,https://registry.puro.earth/projects
Sonnenerde Pyreg 500,Sonnenerde GmbH,"Biochar, 2022",Austria,https://registry.puro.earth/projects/951479,951479,10,https://registry.puro.earth/projects
Sonnenerde PyroDry,Sonnenerde GmbH,"Biochar, 2022",Austria,https://registry.puro.earth/projects/955988,955988,10,https://registry.puro.earth/projects
"Sylva Fertilis, Argentan, FR",Accend AS,"Biochar, 2022",France,https://registry.puro.earth/projects/242171,242171,10,https://registry.puro.earth/projects
Termowood - Hurdal,Accend AS,Wooden Building Elements,Norway,https://registry.puro.earth/projects/641179,641179,11,https://registry.puro.earth/projects
Tierra Prieta - Parras,"Carbon Removal Solutions, Inc (dba Tierra Prieta)","Biochar, 2022",Mexico,https://registry.puro.earth/projects/705515,705515,11,https://registry.puro.earth/projects
TONGWEI-01-Sichuan xichang,"Sichuan Fusion Link Technology Co., Ltd.","Biochar, 2022",China,https://registry.puro.earth/projects/861867,861867,11,https://registry.puro.earth/projects
Truecoco Ghana Ltd,Truecoco Ghana Ltd,"Biochar, 2022",Ghana,https://registry.puro.earth/projects/816220,816220,11,https://registry.puro.earth/projects
USA,Himalayan Sustainable Energy Solutions Pvt. Ltd. (dba Takachar),"Biochar, 2022",United States,https://registry.puro.earth/projects/980845,980845,11,https://registry.puro.earth/projects
V-Grid (c/o South Corner Dairy),V-Grid Energy Systems,"Biochar, 2022",United States,https://registry.puro.earth/projects/472483,472483,11,https://registry.puro.earth/projects
V-Grid Energy Systems,V-Grid Energy Systems,"Biochar, 2022",United States,https://registry.puro.earth/projects/672804,672804,11,https://registry.puro.earth/projects
Varaha Corn Seed Facility 1 : Pooling ID 301704,Varaha ClimateAg,"Biochar, 2022",India,https://registry.puro.earth/projects/301704,301704,11,https://registry.puro.earth/projects
Varaha Corn Seed Facility 2 : Pooling ID 301704,Varaha ClimateAg,"Biochar, 2022",India,https://registry.puro.earth/projects/407851,407851,11,https://registry.puro.earth/projects
Wakefield Biochar Facility 1,Accend AS,"Biochar, 2022",United States,https://registry.puro.earth/projects/654470,654470,11,https://registry.puro.earth/projects
Wakefield Biochar Facility 2,Accend AS,"Biochar, 2022",United States,https://registry.puro.earth/projects/244045,244045,12,https://registry.puro.earth/projects
Wakefield Biochar Facility 3,Accend AS,"Biochar, 2022",United States,https://registry.puro.earth/projects/939902,939902,12,https://registry.puro.earth/projects
Wakefield Biochar Facility 4,Accend AS,"Biochar, 2022",United States,https://registry.puro.earth/projects/517437,517437,12,https://registry.puro.earth/projects
Walsenburg Facility,Wood Cache PBC,Terrestrial Storage of Biomass,United States,https://registry.puro.earth/projects/452184,452184,12,https://registry.puro.earth/projects
Whitefield,Vertree Partners,"Biochar, 2022",United States,https://registry.puro.earth/projects/903423,903423,12,https://registry.puro.earth/projects
