source_id,source_name,document_id,document_title,document_category,document_type,file_format,document_url,source_url,related_entity,notes
jcm_mn,JCM Mongolia-Japan,jcm_mn:0:Bilateral Document,Bilateral Document,General,Rules and Guidelines,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_bilateral_document.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:1:Modification of Bilateral Document,Modification of Bilateral Document,General,Rules and Guidelines,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/modification_bilat_doc_mn-jp.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:2:Download All Forms,Download All Forms,Project Cycle,Archive,ZIP,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_Forms_Mongolia.zip,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:3:Download All Rules and Guidelines,Download All Rules and Guidelines,Project Cycle,Archive,ZIP,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_Rules_and_Guidelines_Mongolia.zip,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:4:Application Form for Designation as a Third-Party Entity,Application Form for Designation as a Third-Party Entity,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_TPE_ver06.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:5:Application Form for Designation as a Third-Party Entity,Application Form for Designation as a Third-Party Entity,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_TPE_ver06.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:6:Approved Methodology Revision Request Form,Approved Methodology Revision Request Form,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_AMR_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:7:Approved Methodology Revision Request Form,Approved Methodology Revision Request Form,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_AMR_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:8:Assessment of Reference Emissions Request Form,Assessment of Reference Emissions Request Form,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Asst_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:9:Assessment of Reference Emissions Request Form,Assessment of Reference Emissions Request Form,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Asst_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:10:Credits Issuance Request Form,Credits Issuance Request Form,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Iss_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:11:Credits Issuance Request Form,Credits Issuance Request Form,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Iss_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:12:Issuance Request Withdrawal Form,Issuance Request Withdrawal Form,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_IW_Req_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:13:Issuance Request Withdrawal Form,Issuance Request Withdrawal Form,Project Cycle,Forms,PDF,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_IW_Req_ver05.0.pdf,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
jcm_mn,JCM Mongolia-Japan,jcm_mn:14:Modalities of Communication Statement Form,Modalities of Communication Statement Form,Project Cycle,Forms,DOCX,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_MoC_ver05.0.docx,https://www.jcm.go.jp/jc/mn-rules-and-guidelines,Mongolia,Parsed from JCM Mongolia-Japan rules/forms listing
