source_id,source_name,evidence_stage,evidence_document_type,document_title,document_url,relevance_note
jcm_mn,JCM Mongolia-Japan,other,Bilateral Document (PDF),Bilateral Document,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_bilateral_document.pdf,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,other,Modification of Bilateral Document (PDF),Modification of Bilateral Document,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/modification_bilat_doc_mn-jp.pdf,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,other,Download All Forms (ZIP),Download All Forms,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_Forms_Mongolia.zip,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,other,Download All Rules and Guidelines (ZIP),Download All Rules and Guidelines,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_Rules_and_Guidelines_Mongolia.zip,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,validation,Application Form for Designation as a Third-Party Entity (DOCX),Application Form for Designation as a Third-Party Entity,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_TPE_ver06.0.docx,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,validation,Application Form for Designation as a Third-Party Entity (PDF),Application Form for Designation as a Third-Party Entity,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_TPE_ver06.0.pdf,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,methodology_approval,Approved Methodology Revision Request Form (DOCX),Approved Methodology Revision Request Form,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_AMR_Req_ver05.0.docx,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,methodology_approval,Approved Methodology Revision Request Form (PDF),Approved Methodology Revision Request Form,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_AMR_Req_ver05.0.pdf,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,methodology_approval,Assessment of Reference Emissions Request Form (DOCX),Assessment of Reference Emissions Request Form,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Asst_Req_ver05.0.docx,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,methodology_approval,Assessment of Reference Emissions Request Form (PDF),Assessment of Reference Emissions Request Form,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Asst_Req_ver05.0.pdf,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
jcm_mn,JCM Mongolia-Japan,issuance,Credits Issuance Request Form (DOCX),Credits Issuance Request Form,https://www.jcm.go.jp/jc/wp-content/uploads/sites/3/JCM_MN_F_Iss_Req_ver05.0.docx,Seeded from JCM rules/forms title; PDF/DOCX contents not parsed
