source_id,source_name,methodology_id,methodology_code,methodology_name,status,version,approval_date,sectoral_scope,project_count,source_url,notes
jcm_mn,JCM Mongolia-Japan,MN_AM004,MN_AM004,Installation of solar photovoltaic system and battery energy storage system,Approved,Ver1.0,2024-12-20,1. Energy industries (renewable-/non-renewable sources),,https://www.jcm.go.jp/jc/mn-methodologies-proposed,Parsed from JCM Mongolia-Japan methodology listing
jcm_mn,JCM Mongolia-Japan,MN_AM003,MN_AM003,Installation of Solar PV System,Approved,Ver3.0,2024-08-04,1. Energy industries (renewable-/non-renewable sources),,https://www.jcm.go.jp/jc/mn-methodologies-proposed,Parsed from JCM Mongolia-Japan methodology listing
jcm_mn,JCM Mongolia-Japan,MN_AM002,MN_AM002,Replacement and Installation of High Efficiency Heat Only Boiler (HOB) for Hot Water Supply Systems,Approved,Ver1.0,2015-01-28,1. Energy industries,,https://www.jcm.go.jp/jc/mn-methodologies-proposed,Parsed from JCM Mongolia-Japan methodology listing
jcm_mn,JCM Mongolia-Japan,MN_AM001,MN_AM001,Installation of energy-saving transmission lines in the Mongolian Grid,Approved,Ver1.0,2014-02-20,2. Energy distribution,,https://www.jcm.go.jp/jc/mn-methodologies-proposed,Parsed from JCM Mongolia-Japan methodology listing
gold_standard,Gold Standard,ACM0001 Flaring or use of landfill gas,,ACM0001 Flaring or use of landfill gas,,,,,29,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,ACM0002 Grid-connected electricity generation from renewable sources,,,,,394,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,ACM0006 Electricity and heat generation from biomass residues,,ACM0006 Electricity and heat generation from biomass residues,,,,,5,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,ACM0010 GHG emission reductions from manure management systems,,ACM0010 GHG emission reductions from manure management systems,,,,,25,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,ACM0012 Waste energy recovery,,ACM0012 Waste energy recovery,,,,,9,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,ACM0014 Treatment of wastewater,,ACM0014 Treatment of wastewater,,,,,5,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,ACM0018 Electricity generation from biomass residues in power-only plants,,ACM0018 Electricity generation from biomass residues in power-only plants,,,,,4,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,ACM0022 Alternative waste treatment processes,,ACM0022 Alternative waste treatment processes,,,,,7,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,ACM0026 Fossil fuel based cogeneration for identified recipient facility(ies),,ACM0026 Fossil fuel based cogeneration for identified recipient facility(ies),,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AM0036 Fuel switch from fossil fuels to biomass residues in heat generation equipment,,AM0036 Fuel switch from fossil fuels to biomass residues in heat generation equipment,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AM0048 New cogeneration facilities supplying electricity and/or steam to multiple customers and displacing grid/off-grid steam and electricity generation with more carbon-intensive fuels,,AM0048 New cogeneration facilities supplying electricity and/or steam to multiple customers and displacing grid/off-grid steam and electricity generation with more carbon-intensive fuels,,,,,1,,Distinct methodology labels from Gold Standard project export
gold_standard,Gold Standard,AM0058 Introduction of a district heating system,,AM0058 Introduction of a district heating system,,,,,1,,Distinct methodology labels from Gold Standard project export
