source_id,source_name,methodology_name,methodology_code,source_project_id,project_name,country,project_url
jcm_mn,JCM Mongolia-Japan,MN_AM004 Ver1.0,MN_AM004,MN007,Installation of 5MW solar PV system and 3.6MWh battery energy storage system in Zavkhan Province,Mongolia,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN_AM003 Ver2.0,MN_AM003,MN006,Introduction of 15MW Solar Power System near New Airport,Mongolia,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN_AM001 Ver1.0,MN_AM001,MN005,A HIGH EFFICIENCY AND LOW LOSS POWER TRANSMISSION AND DISTRIBUTION SYSTEM IN MONGOLIA,Mongolia,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN_AM003 Ver2.0,MN_AM003,MN004,10MW Solar Power Project in Darkhan City,Mongolia,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN_AM003 Ver2.0,MN_AM003,MN003,Installation of 12.7 MW Solar Power Plant for Power Supply In Ulaanbaatar Suburb,Mongolia,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN_AM002 Ver1.0,MN_AM002,MN002,Centralization of heat supply system by installation of high-efficiency Heat Only Boilers in Bornuur soum Project,Mongolia,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN_AM002 Ver1.0,MN_AM002,MN001,Installation of high-efficiency Heat Only Boilers in 118th School of Ulaanbaatar City Project,Mongolia,https://www.jcm.go.jp/jc/mn-projects/
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,12473,GS12362 GS12363 VPA 05 Safe Water Drinking Programme in Maharashtra,India,https://registry.goldstandard.org/projects/details/12473
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,12472,GS12362 GS12363 VPA 04 Safe Water Drinking Programme in Maharashtra,India,https://registry.goldstandard.org/projects/details/12472
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,12422,GS12362 GS12363 VPA 03 Safe Water Drinking Programme in Maharashtra,India,https://registry.goldstandard.org/projects/details/12422
gold_standard,Gold Standard,GS Retrofit Energy Efficiency Measures in Shipping v2,,12936,Canbaz Shipping Group Retrofit Project 1,International,https://registry.goldstandard.org/projects/details/12936
gold_standard,Gold Standard,Methodology for Metered & Measured Energy Cooking Devices,,12817,GS11993 GS11994 VPA3: African Clean Energy for Cooking in Uganda,Uganda,https://registry.goldstandard.org/projects/details/12817
gold_standard,Gold Standard,Methodology for Metered & Measured Energy Cooking Devices,,12800,GS11993 GS11994 VPA2: African Clean Energy for Cooking in Uganda,Uganda,https://registry.goldstandard.org/projects/details/12800
gold_standard,Gold Standard,GS Methodology for emission reductions from safe drinking water supply,,12688,GS12102 GS12458 RVPA-3 Carbon Credit financing for sustainable rural water supply in Manyara Region,Tanzania United Republic of,https://registry.goldstandard.org/projects/details/12688
gold_standard,Gold Standard,Soil Organic Carbon Framework Methodology,,13142,The Taiwan Sustainable Grain Production Project,Taiwan,https://registry.goldstandard.org/projects/details/13142
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,12983,Pando and Monte Lirio Hydroelectric Plants,Panama,https://registry.goldstandard.org/projects/details/12983
gold_standard,Gold Standard,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,,23253,Duguna Fango and Damot Weyde Assisted Farmer Managed Natural Regeneration for Sustainable Land Management and Livelihood Improvement Project,Ethiopia,https://registry.goldstandard.org/projects/details/23253
