source_id,source_name,source_project_id,project_name,country,status,project_type,methodology_name,developer_or_supplier,estimated_annual_credits,project_url
jcm_mn,JCM Mongolia-Japan,MN007,Installation of 5MW solar PV system and 3.6MWh battery energy storage system in Zavkhan Province,Mongolia,Validation,,MN_AM004 Ver1.0,Ministry of Energy; Bogd River Hydroelectric Power Plant LLC,,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN006,Introduction of 15MW Solar Power System near New Airport,Mongolia,Project registered,,MN_AM003 Ver2.0,Tenuun Gerel Construction LLC,,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN005,A HIGH EFFICIENCY AND LOW LOSS POWER TRANSMISSION AND DISTRIBUTION SYSTEM IN MONGOLIA,Mongolia,Project registered,,MN_AM001 Ver1.0,NATIONAL POWER TRANSMISSION GRID State Owned Stock Company (NPTG),,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN004,10MW Solar Power Project in Darkhan City,Mongolia,Project registered,,MN_AM003 Ver2.0,Solar Power International LLC,,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN003,Installation of 12.7 MW Solar Power Plant for Power Supply In Ulaanbaatar Suburb,Mongolia,Project registered,,MN_AM003 Ver2.0,"Bridge LLC, Everyday Farm LLC",,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN002,Centralization of heat supply system by installation of high-efficiency Heat Only Boilers in Bornuur soum Project,Mongolia,Project registered,,MN_AM002 Ver1.0,"ANU-SERVICE CO.,LTD",,https://www.jcm.go.jp/jc/mn-projects/
jcm_mn,JCM Mongolia-Japan,MN001,Installation of high-efficiency Heat Only Boilers in 118th School of Ulaanbaatar City Project,Mongolia,Project registered,,MN_AM002 Ver1.0,"ANU-SERVICE CO.,LTD.",,https://www.jcm.go.jp/jc/mn-projects/
gold_standard,Gold Standard,23647,GS23645-VPA-1 Wells of Life: Sustainable Safe Water for Malawi,Malawi,Listed,Energy Efficiency - Domestic,,EOS CLIMATE AND ENERGY LTD,30000,https://registry.goldstandard.org/projects/details/23647
gold_standard,Gold Standard,23645,EOS Climate – High-Integrity Climate & Social Impact Programme,Malawi,Listed,Energy Efficiency - Domestic,,EOS CLIMATE AND ENERGY LTD,60000,https://registry.goldstandard.org/projects/details/23645
gold_standard,Gold Standard,23629,GS23168-GS23169-OYU - Clean Water for Malawian Communities,Malawi,Listed,Energy Efficiency - Domestic,,SHRI MAA MARKETING PRIVATE LIMITED,0,https://registry.goldstandard.org/projects/details/23629
gold_standard,Gold Standard,23627,Matafongo Solar Park,Dominican Republic,Listed,PV,,ENERION RENEWABLES S.R.L. SEMPLIFICATA,80000,https://registry.goldstandard.org/projects/details/23627
gold_standard,Gold Standard,23626,Los Granadillos Wind Park,Dominican Republic,Listed,Wind,,ENERION RENEWABLES S.R.L. SEMPLIFICATA,104000,https://registry.goldstandard.org/projects/details/23626
gold_standard,Gold Standard,23620,KPC Arakan 1 Project,Philippines,Listed,A/R,,Kilambay Plantation Corp,130000,https://registry.goldstandard.org/projects/details/23620
gold_standard,Gold Standard,23616,GS23612- VPA-1 - Transition to electric vehicles in Thailand,Thailand,Listed,Energy Efficiency - Transport Sector,,Krungthai Bank Public Company Limited (KTB),60000,https://registry.goldstandard.org/projects/details/23616
gold_standard,Gold Standard,23615,GS23612- VPA-1 - Energy efficient street lighting in Thailand,Thailand,Listed,Energy Efficiency - Public Sector,,Krungthai Bank Public Company Limited (KTB),0,https://registry.goldstandard.org/projects/details/23615
gold_standard,Gold Standard,23614,GS23612 - VPA-1 - Energy efficiency retrofits for buildings in Thailand,Thailand,Listed,Energy Efficiency - Domestic,,Krungthai Bank Public Company Limited (KTB),24000,https://registry.goldstandard.org/projects/details/23614
gold_standard,Gold Standard,23613,GS23612 - VPA-1 - Renewable energy generation through solar photovoltaic in Thailand,Thailand,Listed,PV,,Krungthai Bank Public Company Limited (KTB),8030,https://registry.goldstandard.org/projects/details/23613
gold_standard,Gold Standard,23612,Low Carbon Cities and Carbon Market Development Project,Thailand,Listed,Energy Efficiency - Domestic,,Krungthai Bank Public Company Limited (KTB),8030,https://registry.goldstandard.org/projects/details/23612
gold_standard,Gold Standard,23598,GS23596-VPA-2 Wonder Stove Improved Charcoal Cookstoves Programme-Senegal,Senegal,Listed,Energy Efficiency - Domestic,,Westwind Energy (SL) Limited,150000,https://registry.goldstandard.org/projects/details/23598
gold_standard,Gold Standard,23597,GS23596-VPA-1 Wonder Stove Improved Wood Cookstoves Programme-Senegal,Senegal,Listed,Energy Efficiency - Domestic,,Westwind Energy (SL) Limited,120000,https://registry.goldstandard.org/projects/details/23597
gold_standard,Gold Standard,23596,PoA Westwind Wonder Stoves Carbon Initiative,Senegal,Listed,Energy Efficiency - Domestic,,Westwind Energy (SL) Limited,0,https://registry.goldstandard.org/projects/details/23596
gold_standard,Gold Standard,23591,GS10789-GS10790-RVPA-91: Efficient and Clean Cooking for households in Zambia,Zambia,Listed,Energy Efficiency - Domestic,,GLOBAL COOKSTOVES 3 LIMITED,12890,https://registry.goldstandard.org/projects/details/23591
gold_standard,Gold Standard,23590,Proactiva CGA Iperó Landfill Gas to Energy Project,Brazil,Listed,Other,,Proactiva Meio Ambiente Ltda,214253,https://registry.goldstandard.org/projects/details/23590
gold_standard,Gold Standard,23582,CGR Guatapara Landfill Project,Brazil,Listed,Other,,ESTRE AMBIENTAL S.A.,335002,https://registry.goldstandard.org/projects/details/23582
gold_standard,Gold Standard,23574,GS12856-VPA-3 Unlocking Communities Water Filters for Households,Haiti,Listed,Energy Efficiency - Domestic,,Unlocking Communities,60000,https://registry.goldstandard.org/projects/details/23574
gold_standard,Gold Standard,23573,GS12856-VPA-2 Unlocking Communities Water Filters for Institutions,Haiti,Listed,Energy Efficiency - Domestic,,Unlocking Communities,60000,https://registry.goldstandard.org/projects/details/23573
gold_standard,Gold Standard,23572,GS23562- VPA 1 The Future of Cooking in Zambia,Zambia,Listed,Biogas - Heat,,Koalisation S.R.L. SB,0,https://registry.goldstandard.org/projects/details/23572
gold_standard,Gold Standard,23567,Nestlé & FNC Tree Planting Colombia,Colombia,Listed,A/R,,South Pole Ltd,64861,https://registry.goldstandard.org/projects/details/23567
gold_standard,Gold Standard,23562,The Future of Cooking in Emerging Countries,Zambia,Listed,Energy Efficiency - Domestic,,Koalisation S.R.L. SB,0,https://registry.goldstandard.org/projects/details/23562
gold_standard,Gold Standard,23560,Kuphatana - Acções Inclusivas para Florestas Sustentáveis ​​em Moçambique,Mozambique,Listed,A/R,,Carbonsink (Carbonsink Group S.r.l.),8925,https://registry.goldstandard.org/projects/details/23560
gold_standard,Gold Standard,23559,IRIBA Water Access Program in Rwanda ,Rwanda,Listed,Energy Efficiency - Domestic,,IRIBA Water Group Ltd.,60000,https://registry.goldstandard.org/projects/details/23559
gold_standard,Gold Standard,23557,GS12856-VPA-1 Unlocking Communities High Efficiency Charcoal Cookstove for Households,Haiti,Listed,Energy Efficiency - Domestic,,Unlocking Communities,60000,https://registry.goldstandard.org/projects/details/23557
gold_standard,Gold Standard,23556,GS12239-GS12240- RVPA-2 Amazi Meza Rwanda Water Supply Project For Schools,Rwanda,Gold Standard Certified Design,Energy Efficiency - Domestic,,SweetSense Inc.,60000,https://registry.goldstandard.org/projects/details/23556
gold_standard,Gold Standard,23552,GS23548-VPA-3 d.light Clean Energy Access Programme-Madagascar,Madagascar,Listed,Energy Efficiency - Domestic,,d.lightdesign Ltd,60000,https://registry.goldstandard.org/projects/details/23552
gold_standard,Gold Standard,23551,GS23548-VPA-2 d.light Clean Energy Access Programme-Tanzania,Tanzania United Republic of,Listed,Energy Efficiency - Domestic,,d.lightdesign Ltd,60000,https://registry.goldstandard.org/projects/details/23551
gold_standard,Gold Standard,23550,GS23548-GS23549-RVPA-1 d.light Clean Energy Access Programme-Nigeria,Nigeria,Listed,Energy Efficiency - Domestic,,d.lightdesign Ltd,60000,https://registry.goldstandard.org/projects/details/23550
gold_standard,Gold Standard,23549,GS23548-VPA-1 d.light Clean Energy Access Programme-Nigeria,Nigeria,Listed,Energy Efficiency - Domestic,,d.lightdesign Ltd,60000,https://registry.goldstandard.org/projects/details/23549
gold_standard,Gold Standard,23548,d.light Clean Energy Access Programme - Africa,Nigeria,Listed,Energy Efficiency - Domestic,,d.lightdesign Ltd,0,https://registry.goldstandard.org/projects/details/23548
gold_standard,Gold Standard,13098,GS13044 GS13045 RVPA-1 Kenya LifeStraw Give Back Program,Kenya,Listed,Energy Efficiency - Domestic,,SweetSense Inc.,60000,https://registry.goldstandard.org/projects/details/13098
gold_standard,Gold Standard,23536,QSHM Cork Oak Afforestation 2026,Spain,Listed,A/R,,Quercus Suber Heritage Management SAS,0,https://registry.goldstandard.org/projects/details/23536
